city,state,zip,latitude,longitude,admission_rate,sat_verbal_midrange,sat_math_midrange,sat_writing_midrange,act_combined_midrange,act_english_midrange,act_math_midrange,act_writing_midrange,sat_total_average,undergrad_size,percent_white,percent_black,percent_hispanic,percent_asian,percent_part_time,average_cost_academic_year,average_cost_program_year,tuition_(instate),tuition_(out_of_state),spend_per_student,faculty_salary,percent_part_time_faculty,percent_pell_grant,completion_rate,predominant_degree,highest_degree,ownership,region,gender,carnegie_basic_classification,carnegie_undergraduate,carnegie_size,religious_affiliation,percent_female,agege24,faminc,mean_earnings_6_years,median_earnings_6_years,mean_earnings_10_years,median_earnings_10_years
Madison,WI,53706-1380,43.0739,-89.4054,0.6792,590.0,690.0,625.0,28.0,29.0,29.0,9.0,1268.0,29504.0,0.7713,0.0215,0.0459,0.0551,0.0448,23718.0,,10403.0,26653.0,14278.0,10758.0,0.972,0.1501,0.8284,Bachelors,Graduate,Public,"Great Lakes (IL, IN, MI, OH, WI)",COED,Research Universities (very high research activity),"Full-time four-year, more selective, lower transfer-in","Large 4-year, primarily residential (over 9,999)",,0.56999999284744,0.07000000029802,95485.12,46100.0,40400.0,59900.0,51000.0
Jacksonville,AR,72076,34.8918,-92.1023,,,,,,,,,,64.0,0.7969,0.1563,0.0156,0.0,0.0,,13640.0,,,8627.0,,,0.679,,Certificate,Certificate,Private for-profit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,,,,,0.93999999761581,0.4699999988079,24660.03,15100.0,12800.0,17300.0,15400.0
East Peoria,IL,61611,40.6664,-89.5564,,,,,,,,,,70.0,0.9714,0.0,0.0286,0.0,0.0,,12668.0,,,3882.0,,,0.6698,,Certificate,Certificate,Private for-profit,"Great Lakes (IL, IN, MI, OH, WI)",COED,,,,,0.97000002861022,0.38999998569488,50765.95,17500.0,14800.0,21300.0,19400.0
Marietta,GA,30067,33.908,-84.4279,,,,,,,,,,922.0,0.2213,0.7061,0.026000000000000002,0.0043,0.0,31260.0,,8160.0,8160.0,2970.0,4345.0,0.3582,0.6462,0.5489999999999999,Associate,Graduate,Private nonprofit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,Master's Colleges and Universities (medium programs),"Full-time four-year, inclusive","Small 4-year, primarily nonresidential (1,000 to 2,999)",Southern Baptist,,,,41300.0,36000.0,48100.0,43000.0
Bangor,ME,4401,44.7852,-68.7808,,,,,,,,,,461.0,0.9176,0.0087,0.0108,0.0065,0.2126,,16266.0,,,1825.0,2955.0,0.3214,0.7604,,Associate,Associate,Private for-profit,"New England (CT, ME, MA, NH, RI, VT)",COED,Associate's--Private For-profit,Medium full-time two-year,Very small 2-year (less than 500),,0.87000000476837,0.57999998331069,32341.54,21200.0,21100.0,26600.0,25300.0
Boston,MA,2115,42.3366,-71.095,0.5761,530.0,580.0,515.0,24.0,23.0,26.0,,1109.0,3975.0,0.5967,0.0478,0.0365,0.0606,0.0868,43850.0,,29200.0,29200.0,8790.0,8039.0,1.0,0.2822,0.6251,Bachelors,Graduate,Private nonprofit,"New England (CT, ME, MA, NH, RI, VT)",COED,Baccalaureate Colleges--Diverse Fields,"Full-time four-year, selective, lower transfer-in","Medium 4-year, highly residential (3,000 to 9,999)",,0.2199999988079,0.07999999821186,89672.88,46900.0,46500.0,57400.0,54600.0
Round Rock,TX,78681-0000,30.4804,-97.6852,,,,,,,,,,119.0,0.2017,0.1933,0.1261,0.0,0.3529,,24602.0,,,4964.0,,,0.787,,Certificate,Certificate,Private for-profit,"Southwest (AZ, NM, OK, TX)",COED,,,,,,,,20600.0,19400.0,22400.0,19600.0
Saint Louis,MO,63113-2811,38.6529,-90.249,,,,,,,,,,2097.0,0.7253,0.2184,0.0138,0.0091,0.3739,23593.0,,14457.0,14457.0,3004.0,4900.0,0.6089,0.6904,0.8323,Certificate,Bachelors,Private nonprofit,"Plains (IA, KS, MN, MO, NE, ND, SD)",COED,Associate's--Private Not-for-profit 4-year Primarily Associate's,Higher part-time four-year,"Small 4-year, primarily nonresidential (1,000 to 2,999)",,0.07000000029802,0.23999999463558,63075.89,39700.0,38100.0,48200.0,46500.0
Hutchinson,KS,67501,38.0668,-97.9196,,,,,,,,,,4064.0,0.7554,0.0623,0.0782,0.0081,0.4267,11659.0,,2688.0,3840.0,4496.0,5227.0,0.8655,0.3344,,Associate,Associate,Public,"Plains (IA, KS, MN, MO, NE, ND, SD)",COED,Associate's--Public Rural-serving Large,Mixed part/full-time two-year,"Medium 2-year (2000 to 4,999)",,0.54000002145767,0.36000001430511,42698.05,28700.0,26900.0,34800.0,31700.0
Lancaster,CA,93534,34.6956,-118.1487,,,,,,,,,,93.0,0.4086,0.2366,0.3333,0.0,0.0,,17079.0,,,2556.0,,,0.5432,,Certificate,Certificate,Private for-profit,"Far West (AK, CA, HI, NV, OR, WA)",COED,,,,,0.83999997377395,0.43999999761581,24166.87,17200.0,13300.0,20100.0,15700.0
San Antonio,TX,78230-1736,29.5384,-98.5686,,,,,,,,,,713.0,0.2917,0.0968,0.5147,0.0238,0.0,,19102.0,,,4228.0,3993.0,1.0,0.5625,0.4826,Associate,Bachelors,Private nonprofit,"Southwest (AZ, NM, OK, TX)",COED,Associate's--Private For-profit,Higher full-time two-year,"Small 2-year (500 to 1,999)",,0.34999999403953,0.58999997377395,25915.37,31200.0,26600.0,38200.0,34400.0
Batavia,NY,14020,43.0168,-78.138,,,,,,,,,,4190.0,0.7716,0.0895,0.0401,0.005,0.2597,11590.0,,4050.0,4650.0,4259.0,6109.0,0.26,0.3681,,Associate,Associate,Public,"Mid East (DE, DC, MD, NJ, NY, PA)",COED,Associate's--Public Rural-serving Medium,Mixed part/full-time two-year,"Medium 2-year (2000 to 4,999)",,0.64999997615814,0.31999999284744,40039.09,25900.0,23600.0,32800.0,29700.0
Erie,PA,16563-4117,42.1194,-79.9839,0.8408,510.0,545.0,490.0,22.0,22.0,23.0,7.0,1052.0,3797.0,0.8338,0.0403,0.0298,0.0261,0.0445,27759.0,,14240.0,21302.0,5530.0,8612.0,0.8148,0.3156,0.6995,Bachelors,Graduate,Public,"Mid East (DE, DC, MD, NJ, NY, PA)",COED,Master's Colleges and Universities (smaller programs),"Full-time four-year, selective, lower transfer-in","Medium 4-year, primarily residential (3,000 to 9,999)",,0.47999998927116,0.10999999940395,81964.64,40500.0,37100.0,53500.0,47500.0
San Antonio,TX,78209,29.4681,-98.4677,0.9307,475.0,490.0,,21.0,20.0,21.0,,967.0,6346.0,0.20600000000000002,0.0703,0.6013,0.0191,0.3448,34487.0,,24790.0,24790.0,6728.0,7616.0,0.4557,0.4188,0.4,Bachelors,Graduate,Private nonprofit,"Southwest (AZ, NM, OK, TX)",COED,Master's Colleges and Universities (larger programs),"Medium full-time four-year, selective, higher transfer-in","Medium 4-year, primarily nonresidential (3,000 to 9,999)",Roman Catholic,0.68999999761581,0.43000000715255,56531.31,39300.0,34800.0,46300.0,42700.0
Grand Rapids,MI,49525,43.0352,-85.6265,,,,,,,,,,576.0,0.5589999999999999,0.217,0.1094,0.0122,0.0,,29589.0,,,5454.0,,,0.7490000000000001,,Certificate,Certificate,Private for-profit,"Great Lakes (IL, IN, MI, OH, WI)",COED,,,,,0.9200000166893,0.62999999523162,27597.13,20700.0,19800.0,24400.0,22900.0
Fresno,CA,93703-3599,36.7676,-119.7328,0.8333,,,,,,,,,30.0,0.2333,0.2,0.2333,0.0,0.4,17109.0,,8275.0,8275.0,3031.0,1185.0,,0.5429,0.25,Bachelors,Bachelors,Private nonprofit,"Far West (AK, CA, HI, NV, OR, WA)",COED,"Special Focus Institutions--Theological seminaries, Bible colleges, and other faith-related institutions",,,Free Will Baptist Church,0.55000001192092,0.20999999344348,27211.52,,,,
Cottleville,MO,63376-0975,38.7604,-90.6401,,,,,,,,,,6744.0,0.8178,0.0562,0.0335,0.0188,0.4883,6960.0,,2400.0,5280.0,5973.0,6550.0,0.2463,0.2586,,Associate,Associate,Public,"Plains (IA, KS, MN, MO, NE, ND, SD)",COED,Associate's--Public Suburban-serving Single Campus,Mixed part/full-time two-year,"Large 2-year ( 5000 to 9,999)",,0.68999999761581,0.37000000476837,41842.69,27800.0,25600.0,34600.0,32000.0
Portland,OR,97204-2296,45.5202,-122.6761,,,,,,,,,,227.0,0.5066,0.1233,0.1718,0.0176,0.4626,27177.0,,14256.0,14256.0,7937.0,7548.0,,0.8317,,Certificate,Associate,Private for-profit,"Far West (AK, CA, HI, NV, OR, WA)",COED,Associate's--Private For-profit,Medium full-time two-year,"Small 2-year (500 to 1,999)",,0.82999998331069,0.61000001430511,22290.69,22800.0,21800.0,25700.0,24900.0
Chillicothe,OH,45601-9010,39.44,-82.9613,,,,,,,,,,374.0,0.9385,0.0294,0.0107,0.0027,0.369,,,,,8297.0,,,0.2629,,Certificate,Certificate,Public,"Great Lakes (IL, IN, MI, OH, WI)",COED,,,,,0.76999998092651,0.75999999046325,28481.64,31500.0,31700.0,30200.0,30000.0
Humacao,PR,792,18.1439,-65.814,0.4487,,,,,,,,,3383.0,0.0059,0.0095,0.8835,0.0003,0.0913,11686.0,,2019.0,4041.0,9908.0,5812.0,0.8464,0.7527,0.4343,Bachelors,Bachelors,Public,"Outlying Areas (AS, FM,GU, MH, MP, PR, PW, VI)",COED,Baccalaureate Colleges--Diverse Fields,"Full-time four-year, inclusive","Medium 4-year, primarily nonresidential (3,000 to 9,999)",,0.62999999523162,0.03999999910593,25464.65,,,,
Knoxville,TN,37932,36.0283,-83.9221,,,,,,,,,,180.0,0.9833,0.0111,0.0056,0.0,0.0,29878.0,,17000.0,17000.0,6017.0,3333.0,0.6087,0.4569,0.9032,Associate,Bachelors,Private for-profit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,Special Focus Institutions--Other technology-related schools,,,,0.10999999940395,0.51999998092651,40141.1,33200.0,27200.0,41800.0,37600.0
Selma,AL,36701,32.4204,-87.0338,,,,,,,,,,447.0,0.0336,0.9664,0.0,0.0,0.2841,11187.0,,5840.0,5840.0,3672.0,3232.0,0.84,0.75,0.2133,Bachelors,Graduate,Private nonprofit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,"Special Focus Institutions--Theological seminaries, Bible colleges, and other faith-related institutions",,,Baptist,,,,,,,
Glendale,WI,53212,43.0975,-87.9171,,,,,,,,,,157.0,0.7962,0.0828,0.0318,0.0701,0.0955,,,,,9941.0,6070.0,0.92,0.5313,,Bachelors,Bachelors,Private nonprofit,"Great Lakes (IL, IN, MI, OH, WI)",COED,,,,,,,,,,,
Tannersville,PA,18372,41.2429,-75.8777,,,,,,,,,,47.0,0.4681,0.2128,0.2128,0.0,0.3617,,23552.0,,,1609.0,,,0.5833,,Certificate,Certificate,Private for-profit,"Mid East (DE, DC, MD, NJ, NY, PA)",COED,,,,,,,,,,,
Concordia,KS,66901-1002,39.5542,-97.6641,,,,,,,,,,1296.0,0.7106,0.1157,0.0995,0.0116,0.3434,9748.0,,2850.0,4680.0,5789.0,4621.0,0.2116,0.3088,,Certificate,Associate,Public,"Plains (IA, KS, MN, MO, NE, ND, SD)",COED,Associate's--Public Rural-serving Medium,Higher part-time two-year,"Small 2-year (500 to 1,999)",,0.6700000166893,0.36000001430511,38872.13,27500.0,24700.0,32300.0,30500.0
Heber City,UT,84032-2044,,,,,,,,,,,,28.0,0.8571,0.0,0.0357,0.0,0.6071,,19401.0,,,1554.0,,,0.4545,,Certificate,Certificate,Private for-profit,"Rocky Mountains (CO, ID,MT, UT, WY)",COED,,,,,,,,,,,
Fort Worth,TX,76102-6524,32.7475,-97.3279,,,,,,,,,,43464.0,0.4332,0.1963,0.275,0.057,0.622,10167.0,,1320.0,4920.0,4278.0,6793.0,0.3343,0.3666,,Associate,Associate,Public,"Southwest (AZ, NM, OK, TX)",COED,Associate's--Public Urban-serving Multicampus,Higher part-time two-year,"Very large 2-year (10,000 or more)",,0.64999997615814,0.43000000715255,28946.02,29600.0,26900.0,37800.0,34300.0
St Charles,MO,63303,,,,,,,,,,,,415.0,0.4602,0.4602,0.0289,0.0024,0.2145,,,13780.0,13780.0,2615.0,3583.0,0.05,0.6629999999999999,,,Non-degree,Private for-profit,"Plains (IA, KS, MN, MO, NE, ND, SD)",COED,,,,,,,,,,,
Portland,OR,97266,45.4768,-122.5385,,,,,,,,,,67.0,0.8507,0.0,0.0149,0.0299,0.5224,,,,,5353.0,,,0.4111,,Bachelors,Bachelors,Private nonprofit,"Far West (AK, CA, HI, NV, OR, WA)",COED,Special Focus Institutions--Other health professions schools,,,,1.0,0.91000002622604,29785.78,,,,
Sioux City,IA,51102-5199,42.483000000000004,-96.3489,,,,,,,,,,3557.0,0.6882,0.0374,0.1389,0.018000000000000002,0.3829,10900.0,,3528.0,3600.0,5565.0,6076.0,0.1908,0.3788,,Certificate,Associate,Public,"Plains (IA, KS, MN, MO, NE, ND, SD)",COED,Associate's--Public Rural-serving Large,Mixed part/full-time two-year,"Medium 2-year (2000 to 4,999)",,0.62000000476837,0.43000000715255,41414.82,27200.0,25300.0,32600.0,29800.0
Martinsburg,WV,25403,39.4539,-77.9683,,,,,,,,,,2240.0,0.7848,0.1237,0.0442,0.0085,0.4741,13531.0,,3120.0,5616.0,3303.0,4413.0,0.3814,0.3509,,Certificate,Associate,Public,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,Associate's--Public Rural-serving Medium,Higher part-time two-year,"Small 2-year (500 to 1,999)",,0.70999997854232,0.58999997377395,38309.57,36000.0,33300.0,,
Portland,OR,97219-7899,45.4505,-122.6725,0.6285,650.0,625.0,635.0,29.0,,,,1279.0,1985.0,0.6479,0.0217,0.0841,0.0605,0.0101,53455.0,,41928.0,41928.0,14496.0,9221.0,0.5422,0.2135,0.7451,Bachelors,Graduate,Private nonprofit,"Far West (AK, CA, HI, NV, OR, WA)",COED,Baccalaureate Colleges--Arts & Sciences,"Full-time four-year, more selective, lower transfer-in","Medium 4-year, highly residential (3,000 to 9,999)",,0.63999998569488,0.18000000715255,83576.98,32000.0,27500.0,49900.0,43400.0
Nashville,TN,37214,36.1523,-86.6656,0.8315,,,,,,,,,298.0,0.6342,0.2349,0.0738,0.0168,0.0,30472.0,,15995.0,15995.0,6277.0,3254.0,,0.662,,Certificate,Associate,Private nonprofit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,Associate's--Private For-profit,Higher full-time two-year,Very small 2-year (less than 500),,0.82999998331069,0.57999998331069,17424.25,18700.0,16800.0,30000.0,26200.0
Washington,DC,20064,38.9358,-76.999,0.6007,555.0,560.0,,25.0,,,,1118.0,3641.0,0.6311,0.0549,0.1052,0.0313,0.0536,54023.0,,38526.0,38526.0,15799.0,9565.0,0.4848,0.1232,0.6852,Bachelors,Graduate,Private nonprofit,"Mid East (DE, DC, MD, NJ, NY, PA)",COED,Research Universities (high research activity),"Full-time four-year, selective, lower transfer-in","Medium 4-year, highly residential (3,000 to 9,999)",Roman Catholic,0.56000000238418,0.12999999523162,120106.07,43900.0,42600.0,58200.0,54500.0
Providence,RI,02903-2784,41.8259,-71.4077,0.2731,600.0,635.0,620.0,28.0,28.0,28.0,,1239.0,2005.0,0.3342,0.0249,0.0828,0.1636,0.0,59597.0,,42932.0,42932.0,20460.0,7949.0,0.2747,0.1537,0.8732,Bachelors,Graduate,Private nonprofit,"New England (CT, ME, MA, NH, RI, VT)",COED,"Special Focus Institutions--Schools of art, music, and design",,,,0.62999999523162,0.23999999463558,92334.03,36300.0,33700.0,48900.0,47300.0
Jersey City,NJ,07306-5997,40.7271,-74.0715,0.5408,450.0,465.0,445.0,19.0,,,,913.0,2369.0,0.2457,0.2904,0.2908,0.0946,0.1287,40921.0,,32284.0,32284.0,8447.0,8274.0,0.4382,0.5196,0.5332,Bachelors,Graduate,Private nonprofit,"Mid East (DE, DC, MD, NJ, NY, PA)",COED,Master's Colleges and Universities (larger programs),"Full-time four-year, inclusive","Small 4-year, primarily residential (1,000 to 2,999)",Roman Catholic,0.54000002145767,0.15000000596046,57869.74,35000.0,32100.0,47200.0,44500.0
Salisbury,MD,21804-7131,38.374,-75.5009,,,,,,,,,,3090.0,0.6631,0.2333,0.0346,0.0133,0.6531,13127.0,,2592.0,6648.0,5162.0,5748.0,0.3784,0.5074,,Associate,Associate,Public,"Mid East (DE, DC, MD, NJ, NY, PA)",COED,Associate's--Public Rural-serving Medium,Higher part-time two-year,"Medium 2-year (2000 to 4,999)",,0.72000002861022,0.43999999761581,27801.8,25200.0,21900.0,31200.0,27200.0
Cincinnati,OH,45202-6838,39.1155,-84.506,1.0,,,,,,,,,259.0,0.7915,0.0232,0.0386,0.0193,0.2124,14597.0,,7000.0,7000.0,6821.0,2508.0,0.9524,0.4645,0.3929,Bachelors,Bachelors,Private nonprofit,"Great Lakes (IL, IN, MI, OH, WI)",COED,"Special Focus Institutions--Theological seminaries, Bible colleges, and other faith-related institutions",,,Other Protestant,0.55000001192092,0.12999999523162,39017.82,20600.0,19100.0,29700.0,26300.0
Salt Lake City,UT,84106,40.7225,-111.8716,,,,,,,,,,79.0,0.6962,0.0506,0.1899,0.0253,0.0,,13779.0,,,1402.0,,,0.7143,,Certificate,Certificate,Private for-profit,"Rocky Mountains (CO, ID,MT, UT, WY)",COED,,,,,0.87999999523162,0.44999998807907,22198.03,,,,
Port Charlotte,FL,33948-3399,27.0056,-82.1472,,,,,,,,,,225.0,0.6844,0.1244,0.1067,0.0311,0.0,15064.0,,2884.0,11231.0,14296.0,,,0.5688,,Certificate,Certificate,Public,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,,,,,0.82999998331069,0.68999999761581,20245.75,28900.0,27500.0,22600.0,20000.0
Chambersburg,PA,17201,39.9351,-77.6654,,,,,,,,,,64.0,0.7969,0.1719,0.0313,0.0,0.2031,,17891.0,,,9925.0,,,0.7344,,Certificate,Certificate,Private for-profit,"Mid East (DE, DC, MD, NJ, NY, PA)",COED,,,,,0.95999997854232,0.46000000834465,30462.62,17000.0,14900.0,,
Duluth,MN,55811-4199,46.8154,-92.1057,0.7265,475.0,465.0,445.0,24.0,23.0,24.0,,1085.0,2858.0,0.802,0.0273,0.0182,0.0182,0.1554,40685.0,,31612.0,31612.0,7878.0,6904.0,0.4783,0.3057,0.6838,Bachelors,Graduate,Private nonprofit,"Plains (IA, KS, MN, MO, NE, ND, SD)",COED,Master's Colleges and Universities (medium programs),"Full-time four-year, selective, lower transfer-in","Medium 4-year, primarily residential (3,000 to 9,999)",Roman Catholic,0.72000002861022,0.31999999284744,71064.65,44300.0,41600.0,51500.0,47500.0
Fargo,ND,58103-1805,46.873999999999995,-96.7908,,,,,,,,,,7.0,0.5714,0.4286,0.0,0.0,0.0,,11052.0,,,12247.0,,,0.6364,,Certificate,Certificate,Private for-profit,"Plains (IA, KS, MN, MO, NE, ND, SD)",COED,,,,,0.12999999523162,0.56000000238418,67194.75,,,,
Beloit,KS,67420,39.4816,-98.1109,,,,,,,,,,504.0,0.9306,0.0159,0.0218,0.0079,0.0595,14424.0,,4841.0,4841.0,7379.0,4162.0,0.6914,0.4896,,Certificate,Associate,Public,"Plains (IA, KS, MN, MO, NE, ND, SD)",COED,Associate's--Public Rural-serving Small,Medium full-time two-year,"Small 2-year (500 to 1,999)",,0.27000001072883,0.27000001072883,43176.47,35500.0,33900.0,38400.0,36800.0
Chattanooga,TN,37421,35.0393,-85.1505,,,,,,,,,,58.0,0.3793,0.3276,0.0,0.0,0.1724,,25776.0,,,6989.0,,,0.7442,,Certificate,Certificate,Private for-profit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,,,,,,,,20600.0,19400.0,22400.0,19600.0
Miami,FL,33169-4538,25.943,-80.2035,,,,,,,,,,768.0,0.0326,0.6276,0.3008,0.0026,0.1289,25659.0,,15552.0,15552.0,6038.0,4112.0,,0.7922,,Certificate,Associate,Private for-profit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,Associate's--Private For-profit,Higher full-time two-year,"Small 2-year (500 to 1,999)",,0.81000000238418,0.52999997138977,17969.1,21200.0,19600.0,28300.0,26100.0
St. Louis,MO,63122,38.6146,-90.3229,,,,,,,,,,119.0,0.8067,0.1429,0.0084,0.0,1.0,,,,,2151.0,,,0.3529,,Certificate,Certificate,Private for-profit,"Plains (IA, KS, MN, MO, NE, ND, SD)",COED,,,,,,,,,,,
Liberty,NY,12754,41.7882,-74.7787,,,,,,,,,,30.0,0.7667,0.1333,0.1,0.0,0.6667,,7597.0,,,9681.0,,,0.6486,,Certificate,Certificate,Public,"Mid East (DE, DC, MD, NJ, NY, PA)",COED,,,,,0.93000000715255,0.6700000166893,22771.49,,,,
Chicago,IL,60626-5232,41.9999,-87.6608,,,,,,,,,,84.0,0.131,0.5476,0.2857,0.0238,0.2381,,18623.0,,,2805.0,,,0.6061,,Certificate,Certificate,Private for-profit,"Great Lakes (IL, IN, MI, OH, WI)",COED,,,,,,,,,,,
Chicago,IL,60625,41.9753,-87.7169,1.0,,,,,,,,,67.0,1.0,0.0,0.0,0.0,0.0,17585.0,,12000.0,12000.0,25502.0,3527.0,0.625,0.473,0.5,Bachelors,Bachelors,Private nonprofit,"Great Lakes (IL, IN, MI, OH, WI)",MENONLY,"Special Focus Institutions--Theological seminaries, Bible colleges, and other faith-related institutions",,,Jewish,0.0,0.07999999821186,38350.0,,,,
San Francisco,CA,94108-3204,37.7909,-122.4041,,,,,,,,,,221.0,0.552,0.0543,0.1448,0.0769,0.0,,17779.0,,,3857.0,,,0.5355,,Certificate,Certificate,Private for-profit,"Far West (AK, CA, HI, NV, OR, WA)",COED,,,,,,,,,,,
Bloomington,IL,61701,40.4747,-88.9794,,,,,,,,,,111.0,0.4865,0.3964,0.1171,0.0,0.4775,,11620.0,,,2088.0,,,0.6111,,Certificate,Certificate,Private for-profit,"Great Lakes (IL, IN, MI, OH, WI)",COED,,,,,0.93999999761581,0.36000001430511,35857.58,17500.0,15100.0,23200.0,20100.0
Mobile,AL,36613-2842,30.7932,-88.1289,0.7125,540.0,575.0,,23.0,24.0,21.0,,1058.0,1472.0,0.6461,0.21600000000000003,0.0122,0.0095,0.1461,30108.0,,18690.0,18690.0,6715.0,5024.0,1.0,0.5032,0.4904,Bachelors,Graduate,Private nonprofit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,Baccalaureate Colleges--Diverse Fields,"Full-time four-year, selective, higher transfer-in","Small 4-year, primarily residential (1,000 to 2,999)",Southern Baptist,0.68000000715255,0.40000000596046,51471.07,31600.0,28600.0,40900.0,37800.0
Framingham,MA,01701-9101,42.2973,-71.4372,0.5167,515.0,525.0,515.0,22.0,,,,1040.0,4255.0,0.7673,0.0764,0.0921,0.0214,0.0994,21402.0,,8080.0,14160.0,5080.0,7977.0,1.0,0.2829,0.5055,Bachelors,Graduate,Public,"New England (CT, ME, MA, NH, RI, VT)",COED,Master's Colleges and Universities (larger programs),"Full-time four-year, selective, higher transfer-in","Medium 4-year, highly residential (3,000 to 9,999)",,0.66000002622604,0.10000000149011,78825.5,34000.0,32500.0,46400.0,43200.0
Grand Rapids,MI,49506-1799,42.9604,-85.6262,0.7135,,,,24.0,24.0,23.0,,1090.0,1843.0,0.8486,0.032,0.0521,0.0081,0.1134,34593.0,,26460.0,26460.0,6032.0,5972.0,0.3922,0.3356,0.5976,Bachelors,Graduate,Private nonprofit,"Great Lakes (IL, IN, MI, OH, WI)",COED,Master's Colleges and Universities (medium programs),"Full-time four-year, selective, lower transfer-in","Small 4-year, primarily residential (1,000 to 2,999)",Roman Catholic,0.64999997615814,0.15000000596046,76310.3,30200.0,29600.0,40000.0,38100.0
Columbus,OH,43219,40.0235,-82.9112,,,,,,,,,,449.0,0.6771,0.11800000000000001,0.0156,0.0045,0.0,22572.0,,13980.0,13980.0,3695.0,4667.0,0.5641,0.6259,,Associate,Associate,Private for-profit,"Great Lakes (IL, IN, MI, OH, WI)",COED,Associate's--Private For-profit,Higher full-time two-year,"Small 2-year (500 to 1,999)",,0.81999999284744,0.18999999761581,42940.91,20200.0,20000.0,27700.0,25000.0
Ponca City,OK,74601,36.7277,-97.0935,,,,,,,,,,421.0,0.6841,0.0333,0.0404,0.0024,0.7458,,7625.0,,,14859.0,,,0.225,,Certificate,Certificate,Public,"Southwest (AZ, NM, OK, TX)",COED,,,,,0.75999999046325,0.68000000715255,19468.54,26700.0,26700.0,22900.0,19600.0
Columbus,OH,43228,39.985,-83.1475,,,,,,,,,,57.0,0.5789,0.3684,0.0,0.0526,0.0,,18338.0,,,5315.0,,,0.6149,,Certificate,Certificate,Private for-profit,"Great Lakes (IL, IN, MI, OH, WI)",COED,,,,,0.94999998807907,0.30000001192092,61836.94,23000.0,21600.0,22300.0,19600.0
Whitewater,WI,53190-1790,42.8356,-88.7424,0.8468,525.0,535.0,505.0,22.0,22.0,22.0,,1030.0,10438.0,0.8585,0.0478,0.0414,0.0166,0.0616,16107.0,,7578.0,15151.0,5681.0,7073.0,0.987,0.2963,0.5483,Bachelors,Graduate,Public,"Great Lakes (IL, IN, MI, OH, WI)",COED,Master's Colleges and Universities (larger programs),"Full-time four-year, selective, higher transfer-in","Medium 4-year, primarily residential (3,000 to 9,999)",,0.51999998092651,0.10000000149011,76990.02,33100.0,32300.0,44300.0,41200.0
Brighton,MI,48116-8360,,,,,,,,,,,,55.0,0.9818,0.0,0.0,0.0,0.3636,,12302.0,,,1733.0,,,0.125,,Certificate,Certificate,Private for-profit,"Great Lakes (IL, IN, MI, OH, WI)",COED,,,,,,,,,,,
Pomona,CA,91768,34.0543,-117.819,0.5218,515.0,555.0,,23.0,22.0,25.0,,1070.0,20857.0,0.2159,0.0323,0.3722,0.2501,0.1186,19402.0,,6350.0,17510.0,7355.0,9101.0,0.4882,0.4404,0.5237,Bachelors,Graduate,Public,"Far West (AK, CA, HI, NV, OR, WA)",COED,Master's Colleges and Universities (larger programs),"Full-time four-year, selective, higher transfer-in","Large 4-year, primarily nonresidential (over 9,999)",,0.46000000834465,0.20000000298023,46768.74,39200.0,36400.0,55000.0,52000.0
Owensboro,KY,42301,37.7447,-87.12200000000001,0.6709999999999999,490.0,483.0,555.0,22.0,22.0,21.0,,1019.0,652.0,0.7377,0.1227,0.0184,0.0046,0.0475,29725.0,,21200.0,21200.0,5489.0,5191.0,0.5114,0.47200000000000003,0.3786,Bachelors,Bachelors,Private nonprofit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,Baccalaureate Colleges--Diverse Fields,"Full-time four-year, selective, higher transfer-in","Very small 4-year, primarily residential (less than 1,000)",United Methodist,0.49000000953674,0.05999999865889,58869.38,30100.0,27900.0,42500.0,36600.0
Dallas,TX,75206,32.8618,-96.7698,,,,,,,,,,48.0,0.125,0.5833,0.25,0.0,0.0,,18632.0,,,3168.0,,,0.7143,,Certificate,Certificate,Private for-profit,"Southwest (AZ, NM, OK, TX)",COED,,,,,,,,,,,
Mooresville,NC,28115,35.5969,-80.8164,,,,,,,,,,78.0,0.9103,0.0256,0.0,0.0256,0.0,,17423.0,,,2528.0,,,0.5826,,Certificate,Certificate,Private for-profit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,,,,,0.94999998807907,0.36000001430511,35597.38,,,,
