checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
b'no checking',42.0,b'critical/other existing credit',b'furniture/equipment',4042.0,b'500<=X<1000',b'1<=X<4',4.0,b'male single',b'none',4.0,b'real estate',36.0,b'none',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'<0',18.0,b'existing paid',b'radio/tv',3509.0,b'<100',b'4<=X<7',4.0,b'female div/dep/mar',b'guarantor',1.0,b'real estate',25.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'>=200',15.0,b'critical/other existing credit',b'used car',2360.0,b'500<=X<1000',b'1<=X<4',2.0,b'male single',b'none',2.0,b'car',36.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'0<=X<200',18.0,b'existing paid',b'radio/tv',3213.0,b'500<=X<1000',b'<1',1.0,b'male mar/wid',b'none',3.0,b'real estate',25.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'0<=X<200',6.0,b'delayed previously',b'new car',1209.0,b'<100',b'unemployed',4.0,b'male single',b'none',4.0,b'life insurance',47.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'bad'
b'<0',6.0,b'all paid',b'education',1198.0,b'<100',b'>=7',4.0,b'female div/dep/mar',b'none',4.0,b'no known property',35.0,b'none',b'for free',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'no checking',18.0,b'existing paid',b'furniture/equipment',1984.0,b'<100',b'1<=X<4',4.0,b'male single',b'none',4.0,b'no known property',47.0,b'bank',b'for free',2.0,b'skilled',1.0,b'none',b'yes',b'good'
b'0<=X<200',30.0,b'delayed previously',b'business',2503.0,b'100<=X<500',b'>=7',4.0,b'male single',b'none',2.0,b'life insurance',41.0,b'stores',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',24.0,b'existing paid',b'furniture/equipment',5511.0,b'100<=X<500',b'1<=X<4',4.0,b'male single',b'none',1.0,b'car',25.0,b'stores',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'<0',12.0,b'existing paid',b'new car',1228.0,b'<100',b'1<=X<4',4.0,b'female div/dep/mar',b'none',2.0,b'real estate',24.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'bad'
b'no checking',9.0,b'existing paid',b'education',3832.0,b'no known savings',b'>=7',1.0,b'male single',b'none',4.0,b'real estate',64.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
b'<0',6.0,b'critical/other existing credit',b'radio/tv',1169.0,b'no known savings',b'>=7',4.0,b'male single',b'none',4.0,b'real estate',67.0,b'none',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'<0',12.0,b'existing paid',b'furniture/equipment',708.0,b'<100',b'1<=X<4',2.0,b'male single',b'guarantor',3.0,b'life insurance',38.0,b'none',b'own',1.0,b'unskilled resident',2.0,b'none',b'yes',b'good'
b'0<=X<200',48.0,b'existing paid',b'new car',6560.0,b'100<=X<500',b'4<=X<7',3.0,b'male single',b'none',2.0,b'life insurance',24.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'no checking',24.0,b'existing paid',b'radio/tv',1552.0,b'<100',b'4<=X<7',3.0,b'male single',b'none',1.0,b'car',32.0,b'bank',b'own',1.0,b'skilled',2.0,b'none',b'yes',b'good'
b'<0',24.0,b'critical/other existing credit',b'business',1382.0,b'100<=X<500',b'4<=X<7',4.0,b'male single',b'none',1.0,b'real estate',26.0,b'none',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'no checking',12.0,b'delayed previously',b'used car',1503.0,b'<100',b'1<=X<4',4.0,b'male mar/wid',b'none',4.0,b'real estate',41.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'>=200',24.0,b'existing paid',b'radio/tv',5152.0,b'<100',b'4<=X<7',4.0,b'male single',b'none',2.0,b'car',25.0,b'bank',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'0<=X<200',18.0,b'delayed previously',b'new car',2899.0,b'no known savings',b'>=7',4.0,b'male single',b'none',4.0,b'car',43.0,b'none',b'own',1.0,b'skilled',2.0,b'none',b'yes',b'good'
b'0<=X<200',24.0,b'delayed previously',b'furniture/equipment',2064.0,b'<100',b'unemployed',3.0,b'female div/dep/mar',b'none',2.0,b'life insurance',34.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'bad'
b'<0',12.0,b'critical/other existing credit',b'new car',2121.0,b'<100',b'1<=X<4',4.0,b'male single',b'none',2.0,b'life insurance',30.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',9.0,b'critical/other existing credit',b'furniture/equipment',2406.0,b'<100',b'unemployed',2.0,b'male single',b'none',3.0,b'car',31.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'none',b'yes',b'good'
b'no checking',15.0,b'existing paid',b'new car',3186.0,b'>=1000',b'4<=X<7',2.0,b'female div/dep/mar',b'none',3.0,b'car',20.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'<0',48.0,b'existing paid',b'radio/tv',6999.0,b'<100',b'4<=X<7',1.0,b'male mar/wid',b'guarantor',1.0,b'real estate',34.0,b'none',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'bad'
b'no checking',15.0,b'existing paid',b'radio/tv',1386.0,b'no known savings',b'1<=X<4',4.0,b'male mar/wid',b'none',2.0,b'real estate',40.0,b'none',b'rent',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'no checking',12.0,b'critical/other existing credit',b'radio/tv',618.0,b'<100',b'>=7',4.0,b'male single',b'none',4.0,b'real estate',56.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',24.0,b'critical/other existing credit',b'used car',6842.0,b'no known savings',b'1<=X<4',2.0,b'male single',b'none',4.0,b'life insurance',46.0,b'none',b'own',2.0,b'high qualif/self emp/mgmt',2.0,b'yes',b'yes',b'good'
b'0<=X<200',36.0,b'delayed previously',b'business',4455.0,b'<100',b'1<=X<4',2.0,b'male div/sep',b'none',2.0,b'real estate',30.0,b'stores',b'own',2.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'bad'
b'<0',30.0,b'existing paid',b'repairs',11998.0,b'<100',b'<1',1.0,b'male div/sep',b'none',1.0,b'no known property',34.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'yes',b'yes',b'bad'
b'no checking',36.0,b'delayed previously',b'used car',8947.0,b'no known savings',b'4<=X<7',3.0,b'male single',b'none',2.0,b'car',31.0,b'stores',b'own',1.0,b'high qualif/self emp/mgmt',2.0,b'yes',b'yes',b'good'
b'no checking',36.0,b'existing paid',b'radio/tv',2394.0,b'no known savings',b'1<=X<4',4.0,b'female div/dep/mar',b'none',4.0,b'car',25.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'0<=X<200',36.0,b'existing paid',b'used car',9398.0,b'<100',b'<1',1.0,b'male mar/wid',b'none',4.0,b'car',28.0,b'none',b'rent',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'bad'
b'<0',36.0,b'delayed previously',b'education',6887.0,b'<100',b'1<=X<4',4.0,b'male single',b'none',3.0,b'life insurance',29.0,b'stores',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'bad'
b'no checking',6.0,b'existing paid',b'new car',672.0,b'<100',b'unemployed',1.0,b'female div/dep/mar',b'none',4.0,b'real estate',54.0,b'none',b'own',1.0,b'unemp/unskilled non res',1.0,b'yes',b'yes',b'good'
b'0<=X<200',12.0,b'existing paid',b'furniture/equipment',2762.0,b'no known savings',b'>=7',1.0,b'female div/dep/mar',b'none',2.0,b'life insurance',25.0,b'bank',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'bad'
b'no checking',12.0,b'critical/other existing credit',b'furniture/equipment',5801.0,b'no known savings',b'>=7',2.0,b'male single',b'none',4.0,b'life insurance',49.0,b'none',b'rent',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'no checking',21.0,b'critical/other existing credit',b'furniture/equipment',2288.0,b'<100',b'<1',4.0,b'female div/dep/mar',b'none',4.0,b'life insurance',23.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'no checking',21.0,b'delayed previously',b'furniture/equipment',1591.0,b'100<=X<500',b'4<=X<7',4.0,b'male single',b'none',3.0,b'real estate',34.0,b'none',b'own',2.0,b'high qualif/self emp/mgmt',1.0,b'none',b'yes',b'good'
b'0<=X<200',18.0,b'critical/other existing credit',b'new car',1056.0,b'<100',b'>=7',3.0,b'male single',b'guarantor',3.0,b'real estate',30.0,b'bank',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'no checking',12.0,b'critical/other existing credit',b'radio/tv',1240.0,b'no known savings',b'>=7',4.0,b'female div/dep/mar',b'none',2.0,b'real estate',38.0,b'none',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'no checking',36.0,b'critical/other existing credit',b'used car',11054.0,b'no known savings',b'1<=X<4',4.0,b'male single',b'none',2.0,b'car',30.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
b'no checking',36.0,b'existing paid',b'new car',909.0,b'500<=X<1000',b'>=7',4.0,b'male single',b'none',4.0,b'life insurance',36.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'0<=X<200',7.0,b'existing paid',b'radio/tv',2415.0,b'<100',b'1<=X<4',3.0,b'male single',b'guarantor',2.0,b'real estate',34.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',24.0,b'critical/other existing credit',b'radio/tv',2223.0,b'100<=X<500',b'>=7',4.0,b'male single',b'none',4.0,b'life insurance',52.0,b'bank',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',6.0,b'existing paid',b'radio/tv',2108.0,b'<100',b'4<=X<7',2.0,b'male mar/wid',b'none',2.0,b'real estate',29.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'0<=X<200',15.0,b'critical/other existing credit',b'business',2326.0,b'500<=X<1000',b'1<=X<4',2.0,b'male single',b'none',4.0,b'car',27.0,b'bank',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',15.0,b'critical/other existing credit',b'radio/tv',1471.0,b'<100',b'1<=X<4',4.0,b'male single',b'none',4.0,b'no known property',35.0,b'none',b'for free',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'0<=X<200',24.0,b'critical/other existing credit',b'business',1935.0,b'<100',b'>=7',4.0,b'male div/sep',b'none',4.0,b'real estate',31.0,b'none',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'bad'
b'no checking',15.0,b'existing paid',b'new car',5324.0,b'500<=X<1000',b'>=7',1.0,b'female div/dep/mar',b'none',4.0,b'no known property',35.0,b'none',b'for free',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'>=200',6.0,b'existing paid',b'new car',709.0,b'>=1000',b'<1',2.0,b'male mar/wid',b'none',2.0,b'real estate',27.0,b'none',b'own',1.0,b'unemp/unskilled non res',1.0,b'none',b'no',b'good'
b'0<=X<200',8.0,b'existing paid',b'radio/tv',1414.0,b'<100',b'1<=X<4',4.0,b'male single',b'guarantor',2.0,b'real estate',33.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'no',b'good'
b'no checking',24.0,b'existing paid',b'furniture/equipment',2835.0,b'500<=X<1000',b'>=7',3.0,b'male single',b'none',4.0,b'life insurance',53.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'<0',13.0,b'critical/other existing credit',b'business',1797.0,b'<100',b'<1',3.0,b'male single',b'none',1.0,b'life insurance',28.0,b'bank',b'own',2.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
b'0<=X<200',12.0,b'existing paid',b'business',1037.0,b'100<=X<500',b'4<=X<7',3.0,b'male single',b'none',4.0,b'real estate',39.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
b'0<=X<200',42.0,b'critical/other existing credit',b'business',5954.0,b'<100',b'4<=X<7',2.0,b'female div/dep/mar',b'none',1.0,b'real estate',41.0,b'bank',b'own',2.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
b'no checking',36.0,b'delayed previously',b'radio/tv',4454.0,b'<100',b'1<=X<4',4.0,b'female div/dep/mar',b'none',4.0,b'real estate',34.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
b'<0',48.0,b'existing paid',b'domestic appliance',3051.0,b'<100',b'1<=X<4',3.0,b'male single',b'none',4.0,b'car',54.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'no checking',12.0,b'critical/other existing credit',b'radio/tv',1291.0,b'<100',b'1<=X<4',4.0,b'female div/dep/mar',b'none',2.0,b'life insurance',35.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
b'0<=X<200',48.0,b'all paid',b'business',3566.0,b'100<=X<500',b'4<=X<7',4.0,b'male single',b'none',2.0,b'car',30.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',6.0,b'critical/other existing credit',b'furniture/equipment',1221.0,b'no known savings',b'1<=X<4',1.0,b'male mar/wid',b'none',2.0,b'life insurance',27.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',4.0,b'critical/other existing credit',b'radio/tv',1544.0,b'<100',b'4<=X<7',2.0,b'male single',b'none',1.0,b'real estate',42.0,b'none',b'own',3.0,b'unskilled resident',2.0,b'none',b'yes',b'good'
b'0<=X<200',12.0,b'existing paid',b'radio/tv',625.0,b'<100',b'<1',4.0,b'male mar/wid',b'guarantor',1.0,b'real estate',26.0,b'bank',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
b'0<=X<200',12.0,b'existing paid',b'new car',2002.0,b'<100',b'4<=X<7',3.0,b'male single',b'none',4.0,b'life insurance',30.0,b'none',b'rent',1.0,b'skilled',2.0,b'yes',b'yes',b'good'
b'<0',24.0,b'existing paid',b'new car',3123.0,b'<100',b'<1',4.0,b'female div/dep/mar',b'none',1.0,b'life insurance',27.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'no checking',15.0,b'existing paid',b'furniture/equipment',2708.0,b'<100',b'<1',2.0,b'male single',b'none',3.0,b'life insurance',27.0,b'bank',b'own',2.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
b'no checking',12.0,b'critical/other existing credit',b'education',3565.0,b'no known savings',b'<1',2.0,b'male single',b'none',1.0,b'life insurance',37.0,b'none',b'own',2.0,b'unskilled resident',2.0,b'none',b'yes',b'good'
b'>=200',12.0,b'critical/other existing credit',b'new car',1480.0,b'500<=X<1000',b'unemployed',2.0,b'male single',b'none',4.0,b'no known property',66.0,b'bank',b'for free',3.0,b'unemp/unskilled non res',1.0,b'none',b'yes',b'good'
b'no checking',15.0,b'critical/other existing credit',b'radio/tv',1360.0,b'<100',b'1<=X<4',4.0,b'male single',b'none',2.0,b'life insurance',31.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
b'0<=X<200',12.0,b'existing paid',b'radio/tv',1158.0,b'500<=X<1000',b'1<=X<4',3.0,b'male div/sep',b'none',1.0,b'car',26.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'0<=X<200',12.0,b'existing paid',b'radio/tv',1103.0,b'<100',b'4<=X<7',4.0,b'male single',b'guarantor',3.0,b'real estate',29.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'no',b'good'
b'<0',24.0,b'existing paid',b'furniture/equipment',7721.0,b'no known savings',b'<1',1.0,b'female div/dep/mar',b'none',2.0,b'life insurance',30.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'no',b'good'
b'<0',18.0,b'existing paid',b'domestic appliance',1217.0,b'<100',b'1<=X<4',4.0,b'male mar/wid',b'none',3.0,b'real estate',47.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'yes',b'yes',b'bad'
b'0<=X<200',12.0,b'existing paid',b'radio/tv',6468.0,b'no known savings',b'unemployed',2.0,b'male single',b'none',1.0,b'no known property',52.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'bad'
b'0<=X<200',24.0,b'existing paid',b'radio/tv',2039.0,b'<100',b'<1',1.0,b'male mar/wid',b'none',1.0,b'life insurance',22.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'bad'
b'0<=X<200',20.0,b'delayed previously',b'other',2629.0,b'<100',b'1<=X<4',2.0,b'male single',b'none',3.0,b'car',29.0,b'bank',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'>=200',15.0,b'critical/other existing credit',b'radio/tv',1271.0,b'no known savings',b'1<=X<4',3.0,b'male single',b'none',4.0,b'no known property',39.0,b'none',b'for free',2.0,b'skilled',1.0,b'yes',b'yes',b'bad'
b'no checking',12.0,b'existing paid',b'radio/tv',804.0,b'<100',b'>=7',4.0,b'male single',b'none',4.0,b'car',38.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',10.0,b'critical/other existing credit',b'furniture/equipment',2069.0,b'no known savings',b'1<=X<4',2.0,b'male mar/wid',b'none',1.0,b'car',26.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'no',b'good'
b'no checking',48.0,b'delayed previously',b'radio/tv',7238.0,b'no known savings',b'>=7',3.0,b'male single',b'none',3.0,b'car',32.0,b'bank',b'own',2.0,b'skilled',2.0,b'none',b'yes',b'good'
b'>=200',18.0,b'existing paid',b'furniture/equipment',3049.0,b'<100',b'<1',1.0,b'female div/dep/mar',b'none',1.0,b'life insurance',45.0,b'stores',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
b'0<=X<200',15.0,b'existing paid',b'new car',2631.0,b'100<=X<500',b'1<=X<4',2.0,b'female div/dep/mar',b'none',4.0,b'car',28.0,b'none',b'rent',2.0,b'skilled',1.0,b'yes',b'yes',b'bad'
b'0<=X<200',30.0,b'existing paid',b'furniture/equipment',3441.0,b'100<=X<500',b'1<=X<4',2.0,b'female div/dep/mar',b'co applicant',4.0,b'car',21.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'no checking',24.0,b'existing paid',b'radio/tv',2284.0,b'<100',b'4<=X<7',4.0,b'male single',b'none',2.0,b'car',28.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'<0',18.0,b'critical/other existing credit',b'furniture/equipment',1049.0,b'<100',b'<1',4.0,b'female div/dep/mar',b'none',4.0,b'life insurance',21.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'<0',24.0,b'existing paid',b'furniture/equipment',4169.0,b'<100',b'1<=X<4',4.0,b'male single',b'none',4.0,b'life insurance',28.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'0<=X<200',27.0,b'delayed previously',b'used car',5965.0,b'<100',b'>=7',1.0,b'male single',b'none',2.0,b'car',30.0,b'none',b'own',2.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
b'0<=X<200',15.0,b'all paid',b'new car',6850.0,b'100<=X<500',b'unemployed',1.0,b'male single',b'none',2.0,b'life insurance',34.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',2.0,b'yes',b'yes',b'bad'
b'<0',6.0,b'critical/other existing credit',b'new car',1361.0,b'<100',b'<1',2.0,b'male single',b'none',4.0,b'real estate',40.0,b'none',b'own',1.0,b'unskilled resident',2.0,b'none',b'no',b'good'
b'no checking',18.0,b'critical/other existing credit',b'furniture/equipment',1817.0,b'<100',b'1<=X<4',4.0,b'female div/dep/mar',b'none',2.0,b'no known property',28.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',24.0,b'critical/other existing credit',b'new car',1940.0,b'>=1000',b'>=7',4.0,b'male single',b'none',4.0,b'real estate',60.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'no checking',10.0,b'critical/other existing credit',b'new car',1231.0,b'<100',b'>=7',3.0,b'male single',b'none',4.0,b'real estate',32.0,b'none',b'own',2.0,b'unskilled resident',2.0,b'none',b'no',b'good'
b'no checking',6.0,b'critical/other existing credit',b'radio/tv',1554.0,b'<100',b'4<=X<7',1.0,b'female div/dep/mar',b'none',2.0,b'car',24.0,b'none',b'rent',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'no checking',18.0,b'critical/other existing credit',b'radio/tv',629.0,b'500<=X<1000',b'>=7',4.0,b'male single',b'none',3.0,b'life insurance',32.0,b'bank',b'own',2.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
b'no checking',15.0,b'delayed previously',b'radio/tv',1478.0,b'<100',b'1<=X<4',4.0,b'male mar/wid',b'none',3.0,b'real estate',33.0,b'bank',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
b'<0',45.0,b'no credits/all paid',b'business',11816.0,b'<100',b'>=7',2.0,b'male single',b'none',4.0,b'car',29.0,b'none',b'rent',2.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'<0',6.0,b'existing paid',b'new car',1203.0,b'100<=X<500',b'>=7',3.0,b'male single',b'none',2.0,b'life insurance',43.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'0<=X<200',7.0,b'existing paid',b'radio/tv',2576.0,b'<100',b'1<=X<4',2.0,b'male single',b'guarantor',2.0,b'real estate',35.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'0<=X<200',24.0,b'existing paid',b'used car',12579.0,b'<100',b'>=7',4.0,b'female div/dep/mar',b'none',2.0,b'no known property',44.0,b'none',b'for free',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'bad'
b'no checking',30.0,b'critical/other existing credit',b'used car',7596.0,b'no known savings',b'>=7',1.0,b'male single',b'none',4.0,b'car',63.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',15.0,b'delayed previously',b'furniture/equipment',960.0,b'>=1000',b'4<=X<7',3.0,b'female div/dep/mar',b'none',2.0,b'life insurance',30.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
b'0<=X<200',48.0,b'existing paid',b'radio/tv',3979.0,b'no known savings',b'4<=X<7',4.0,b'male single',b'none',1.0,b'car',41.0,b'none',b'own',2.0,b'skilled',2.0,b'yes',b'yes',b'good'
b'no checking',24.0,b'critical/other existing credit',b'repairs',2058.0,b'<100',b'1<=X<4',4.0,b'male div/sep',b'none',2.0,b'real estate',33.0,b'none',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'<0',18.0,b'existing paid',b'furniture/equipment',3650.0,b'<100',b'<1',1.0,b'female div/dep/mar',b'none',4.0,b'car',22.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'<0',24.0,b'existing paid',b'other',1755.0,b'<100',b'>=7',4.0,b'female div/dep/mar',b'guarantor',4.0,b'real estate',58.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'yes',b'yes',b'good'
b'0<=X<200',15.0,b'critical/other existing credit',b'radio/tv',1537.0,b'no known savings',b'>=7',4.0,b'male single',b'guarantor',4.0,b'real estate',50.0,b'none',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'no checking',12.0,b'existing paid',b'radio/tv',1493.0,b'<100',b'<1',4.0,b'female div/dep/mar',b'none',3.0,b'car',34.0,b'none',b'own',1.0,b'skilled',2.0,b'none',b'yes',b'good'
b'0<=X<200',48.0,b'all paid',b'new car',12169.0,b'no known savings',b'unemployed',4.0,b'male single',b'co applicant',4.0,b'no known property',36.0,b'none',b'for free',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
b'<0',47.0,b'existing paid',b'new car',10722.0,b'<100',b'<1',1.0,b'female div/dep/mar',b'none',1.0,b'real estate',35.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'yes',b'yes',b'good'
b'0<=X<200',18.0,b'existing paid',b'education',1239.0,b'no known savings',b'1<=X<4',4.0,b'male single',b'none',4.0,b'no known property',61.0,b'none',b'for free',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',10.0,b'existing paid',b'education',727.0,b'500<=X<1000',b'>=7',4.0,b'male single',b'none',4.0,b'no known property',46.0,b'none',b'for free',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'<0',11.0,b'critical/other existing credit',b'new car',3905.0,b'<100',b'1<=X<4',2.0,b'male single',b'none',2.0,b'real estate',36.0,b'none',b'rent',2.0,b'skilled',2.0,b'none',b'yes',b'good'
b'no checking',6.0,b'existing paid',b'furniture/equipment',4611.0,b'<100',b'<1',1.0,b'female div/dep/mar',b'none',4.0,b'life insurance',32.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'0<=X<200',12.0,b'existing paid',b'radio/tv',1567.0,b'<100',b'1<=X<4',1.0,b'female div/dep/mar',b'none',1.0,b'car',22.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'<0',21.0,b'all paid',b'new car',1647.0,b'no known savings',b'1<=X<4',4.0,b'male single',b'none',2.0,b'life insurance',40.0,b'none',b'own',2.0,b'unskilled resident',2.0,b'none',b'yes',b'bad'
b'<0',36.0,b'existing paid',b'furniture/equipment',3446.0,b'<100',b'>=7',4.0,b'male single',b'none',2.0,b'car',42.0,b'none',b'own',1.0,b'skilled',2.0,b'none',b'yes',b'bad'
b'no checking',24.0,b'existing paid',b'used car',9277.0,b'no known savings',b'1<=X<4',2.0,b'male div/sep',b'none',4.0,b'no known property',48.0,b'none',b'for free',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'0<=X<200',48.0,b'no credits/all paid',b'business',12204.0,b'no known savings',b'1<=X<4',2.0,b'male single',b'none',2.0,b'car',48.0,b'bank',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
b'no checking',24.0,b'delayed previously',b'business',2978.0,b'no known savings',b'1<=X<4',4.0,b'male single',b'none',4.0,b'real estate',32.0,b'none',b'own',2.0,b'skilled',2.0,b'yes',b'yes',b'good'
b'no checking',24.0,b'existing paid',b'used car',5433.0,b'no known savings',b'unemployed',2.0,b'female div/dep/mar',b'none',4.0,b'life insurance',26.0,b'none',b'rent',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
b'0<=X<200',15.0,b'existing paid',b'repairs',1514.0,b'100<=X<500',b'1<=X<4',4.0,b'male single',b'guarantor',2.0,b'real estate',22.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'0<=X<200',36.0,b'delayed previously',b'new car',8086.0,b'100<=X<500',b'>=7',2.0,b'male single',b'none',4.0,b'car',42.0,b'none',b'own',4.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'bad'
b'<0',24.0,b'delayed previously',b'new car',1333.0,b'<100',b'unemployed',4.0,b'male single',b'none',2.0,b'real estate',43.0,b'none',b'for free',2.0,b'skilled',2.0,b'none',b'yes',b'bad'
